op_type	dt	op	n_bufs	count	time_us	gb_s
reducedt	float32	sum	2	1024	0.2	60.53
reducedt	float32	sum	2	2048	0.36	68.08
reducedt	float32	sum	2	4096	0.78	63.18
reducedt	float32	sum	2	8192	2.32	42.41
reducedt	float32	sum	2	16384	4.96	39.62
reducedt	float32	sum	2	32768	8.23	47.75
reducedt	float32	sum	2	65536	10.27	76.58
reducedt	float32	sum	2	131072	20.39	77.12
reducedt	float32	sum	2	262144	42.23	74.48
reducedt	float32	sum	2	524288	128.69	48.89
reducedt	float32	sum	2	1048576	312.12	40.31
reducedt	float32	sum	2	2097152	496.01	50.74
reducedt	float32	sum	2	4194304	922.25	54.57
reducedt	float32	sum	2	8388608	1835.51	54.84
reducedt	float32	sum	2	16777216	3242.16	62.10
reducedt	float32	sum	2	33554432	10200.45	39.47
reducedt	float32	sum	2	67108864	26168.44	30.77
reducedt	float32	sum	8	1024	0.51	73.00
reducedt	float32	sum	8	2048	0.95	77.36
reducedt	float32	sum	8	4096	3.54	41.63
reducedt	float32	sum	8	8192	6.37	46.32
reducedt	float32	sum	8	16384	9.64	61.20
reducedt	float32	sum	8	32768	11.19	105.44
reducedt	float32	sum	8	65536	20.12	117.26
reducedt	float32	sum	8	131072	40.19	117.42
reducedt	float32	sum	8	262144	82.56	114.30
reducedt	float32	sum	8	524288	169.46	111.38
reducedt	float32	sum	8	1048576	340.44	110.88
reducedt	float32	sum	8	2097152	677.01	111.52
reducedt	float32	sum	8	4194304	1350.24	111.83
reducedt	float32	sum	8	8388608	2645.66	114.15
reducedt	float32	sum	8	16777216	5378.48	112.30
reducedt	float32	sum	8	33554432	11772.0	102.61
reducedt	float32	sum	8	67108864	26974.83	89.56
reducedt	float32	prod	2	1024	0.21	59.08
reducedt	float32	prod	2	2048	0.38	64.17
reducedt	float32	prod	2	4096	1.1	44.56
reducedt	float32	prod	2	8192	2.39	41.17
reducedt	float32	prod	2	16384	4.72	41.68
reducedt	float32	prod	2	32768	8.34	47.14
reducedt	float32	prod	2	65536	14.31	54.94
reducedt	float32	prod	2	131072	31.12	50.53
reducedt	float32	prod	2	262144	65.98	47.67
reducedt	float32	prod	2	524288	136.11	46.22
reducedt	float32	prod	2	1048576	294.57	42.72
reducedt	float32	prod	2	2097152	537.56	46.81
reducedt	float32	prod	2	4194304	780.43	64.49
reducedt	float32	prod	2	8388608	1110.61	90.64
reducedt	float32	prod	2	16777216	2449.7	82.18
reducedt	float32	prod	2	33554432	10083.08	39.93
reducedt	float32	prod	2	67108864	26127.69	30.82
reducedt	float32	prod	8	1024	0.52	71.17
reducedt	float32	prod	8	2048	1.42	51.85
reducedt	float32	prod	8	4096	2.5	58.89
reducedt	float32	prod	8	8192	6.1	48.35
reducedt	float32	prod	8	16384	9.38	62.87
reducedt	float32	prod	8	32768	18.87	62.51
reducedt	float32	prod	8	65536	37.0	63.76
reducedt	float32	prod	8	131072	73.48	64.21
reducedt	float32	prod	8	262144	148.8	63.42
reducedt	float32	prod	8	524288	301.49	62.60
reducedt	float32	prod	8	1048576	610.66	61.82
reducedt	float32	prod	8	2097152	1121.22	67.33
reducedt	float32	prod	8	4194304	1272.54	118.66
reducedt	float32	prod	8	8388608	2560.36	117.95
reducedt	float32	prod	8	16777216	5228.73	115.51
reducedt	float32	prod	8	33554432	11677.92	103.44
reducedt	float32	prod	8	67108864	26983.12	89.53
reducedt	float32	min	2	1024	0.2	60.24
reducedt	float32	min	2	2048	0.38	65.54
reducedt	float32	min	2	4096	0.85	57.83
reducedt	float32	min	2	8192	2.32	42.30
reducedt	float32	min	2	16384	4.71	41.77
reducedt	float32	min	2	32768	7.94	49.53
reducedt	float32	min	2	65536	11.41	68.92
reducedt	float32	min	2	131072	21.19	74.23
reducedt	float32	min	2	262144	44.37	70.91
reducedt	float32	min	2	524288	132.76	47.39
reducedt	float32	min	2	1048576	300.0	41.94
reducedt	float32	min	2	2097152	486.52	51.73
reducedt	float32	min	2	4194304	954.22	52.75
reducedt	float32	min	2	8388608	1922.05	52.37
reducedt	float32	min	2	16777216	3619.59	55.62
reducedt	float32	min	2	33554432	10083.75	39.93
reducedt	float32	min	2	67108864	25779.47	31.24
reducedt	float32	min	8	1024	0.27	136.03
reducedt	float32	min	8	2048	0.83	89.04
reducedt	float32	min	8	4096	1.86	79.19
reducedt	float32	min	8	8192	3.2	92.04
reducedt	float32	min	8	16384	4.87	121.24
reducedt	float32	min	8	32768	9.84	119.86
reducedt	float32	min	8	65536	19.29	122.31
reducedt	float32	min	8	131072	40.38	116.87
reducedt	float32	min	8	262144	77.93	121.10
reducedt	float32	min	8	524288	163.29	115.58
reducedt	float32	min	8	1048576	329.23	114.66
reducedt	float32	min	8	2097152	656.92	114.93
