coll	mtype	dt	op	count	size_bytes	time_avg_us	time_min_us	time_max_us	bus_bw_avg_gbs	bus_bw_min_gbs	bus_bw_max_gbs	eff_bw_gbs
reduce	cuda	float32	sum	1024	4096	12.42	12.42	12.42	0.33	0.33	0.33	0.33
reduce	cuda	float32	sum	2048	8192	12.19	12.19	12.19	0.67	0.67	0.67	0.67
reduce	cuda	float32	sum	4096	16384	12.18	12.18	12.18	1.34	1.34	1.34	1.35
reduce	cuda	float32	sum	8192	32768	12.25	12.25	12.25	2.68	2.68	2.68	2.67
reduce	cuda	float32	sum	16384	65536	12.22	12.22	12.22	5.36	5.36	5.36	5.36
reduce	cuda	float32	sum	32768	131072	12.29	12.29	12.29	10.66	10.66	10.66	10.66
reduce	cuda	float32	sum	65536	262144	12.31	12.31	12.31	21.30	21.30	21.30	21.30
reduce	cuda	float32	sum	131072	524288	12.39	12.39	12.39	42.32	42.32	42.32	42.32
reduce	cuda	float32	sum	262144	1048576	12.36	12.36	12.36	84.84	84.84	84.84	84.84
reduce	cuda	float32	sum	524288	2097152	12.55	12.55	12.55	167.10	167.10	167.10	167.10
reduce	cuda	float32	sum	1048576	4194304	13.53	13.53	13.53	310.11	310.11	310.11	310.00
reduce	cuda	float32	sum	2097152	8388608	14.65	14.65	14.65	572.60	572.60	572.60	572.60
reduce	cuda	float32	sum	4194304	16777216	19.20	19.20	19.20	874.04	874.04	874.04	873.81
reduce	cuda	float32	sum	8388608	33554432	35.06	35.06	35.06	957.06	957.06	957.06	957.06
reduce	cuda	float32	sum	16777216	67108864	57.03	57.03	57.03	1176.63	1176.63	1176.63	1176.73
reduce	cuda	float32	sum	33554432	134217728	100.54	100.54	100.54	1334.97	1334.97	1334.97	1334.97
reduce	cuda	float32	sum	67108864	268435456	189.18	189.18	189.18	1418.98	1418.98	1418.98	1418.94
reduce	cuda	float32	prod	1024	4096	10.07	10.07	10.07	0.41	0.41	0.41	0.41
reduce	cuda	float32	prod	2048	8192	9.72	9.72	9.72	0.84	0.84	0.84	0.84
reduce	cuda	float32	prod	4096	16384	9.62	9.62	9.62	1.70	1.70	1.70	1.70
reduce	cuda	float32	prod	8192	32768	9.49	9.49	9.49	3.45	3.45	3.45	3.45
reduce	cuda	float32	prod	16384	65536	9.39	9.39	9.39	6.98	6.98	6.98	6.98
reduce	cuda	float32	prod	32768	131072	9.32	9.32	9.32	14.07	14.07	14.07	14.06
reduce	cuda	float32	prod	65536	262144	9.34	9.34	9.34	28.07	28.07	28.07	28.07
reduce	cuda	float32	prod	131072	524288	9.47	9.47	9.47	55.36	55.36	55.36	55.36
reduce	cuda	float32	prod	262144	1048576	9.53	9.53	9.53	110.09	110.09	110.09	110.03
reduce	cuda	float32	prod	524288	2097152	9.38	9.38	9.38	223.58	223.58	223.58	223.58
reduce	cuda	float32	prod	1048576	4194304	10.30	10.30	10.30	407.02	407.02	407.02	407.21
reduce	cuda	float32	prod	2097152	8388608	11.52	11.52	11.52	728.49	728.49	728.49	728.18
reduce	cuda	float32	prod	4194304	16777216	15.71	15.71	15.71	1067.93	1067.93	1067.93	1067.93
reduce	cuda	float32	prod	8388608	33554432	31.85	31.85	31.85	1053.51	1053.51	1053.51	1053.51
reduce	cuda	float32	prod	16777216	67108864	53.82	53.82	53.82	1246.91	1246.91	1246.91	1246.91
reduce	cuda	float32	prod	33554432	134217728	97.61	97.61	97.61	1374.97	1374.97	1374.97	1375.04
reduce	cuda	float32	prod	67108864	268435456	185.28	185.28	185.28	1448.85	1448.85	1448.85	1448.81
reduce	cuda	float32	min	1024	4096	8.37	8.37	8.37	0.49	0.49	0.49	0.49
reduce	cuda	float32	min	2048	8192	8.38	8.38	8.38	0.98	0.98	0.98	0.98
reduce	cuda	float32	min	4096	16384	8.34	8.34	8.34	1.96	1.96	1.96	1.96
reduce	cuda	float32	min	8192	32768	8.32	8.32	8.32	3.94	3.94	3.94	3.94
reduce	cuda	float32	min	16384	65536	8.32	8.32	8.32	7.88	7.88	7.88	7.88
reduce	cuda	float32	min	32768	131072	8.29	8.29	8.29	15.81	15.81	15.81	15.81
reduce	cuda	float32	min	65536	262144	8.32	8.32	8.32	31.51	31.51	31.51	31.51
reduce	cuda	float32	min	131072	524288	8.41	8.41	8.41	62.30	62.30	62.30	62.34
reduce	cuda	float32	min	262144	1048576	8.40	8.40	8.40	124.76	124.76	124.76	124.83
reduce	cuda	float32	min	524288	2097152	8.70	8.70	8.70	241.05	241.05	241.05	241.05
reduce	cuda	float32	min	1048576	4194304	9.73	9.73	9.73	431.07	431.07	431.07	431.07
reduce	cuda	float32	min	2097152	8388608	10.86	10.86	10.86	772.79	772.79	772.79	772.43
reduce	cuda	float32	min	4194304	16777216	15.01	15.01	15.01	1117.74	1117.74	1117.74	1117.74
reduce	cuda	float32	min	8388608	33554432	31.08	31.08	31.08	1079.61	1079.61	1079.61	1079.61
reduce	cuda	float32	min	16777216	67108864	53.33	53.33	53.33	1258.37	1258.37	1258.37	1258.37
reduce	cuda	float32	min	33554432	134217728	97.26	97.26	97.26	1379.99	1379.99	1379.99	1379.99
reduce	cuda	float32	min	67108864	268435456	184.91	184.91	184.91	1451.75	1451.75	1451.75	1451.71
reduce	cuda	float32	max	1024	4096	10.41	10.41	10.41	0.39	0.39	0.39	0.39
reduce	cuda	float32	max	2048	8192	10.61	10.61	10.61	0.77	0.77	0.77	0.77
reduce	cuda	float32	max	4096	16384	10.60	10.60	10.60	1.55	1.55	1.55	1.55
reduce	cuda	float32	max	8192	32768	10.72	10.72	10.72	3.06	3.06	3.06	3.06
reduce	cuda	float32	max	16384	65536	10.83	10.83	10.83	6.05	6.05	6.05	6.05
reduce	cuda	float32	max	32768	131072	11.05	11.05	11.05	11.86	11.86	11.86	11.86
reduce	cuda	float32	max	65536	262144	11.00	11.00	11.00	23.83	23.83	23.83	23.83
reduce	cuda	float32	max	131072	524288	11.32	11.32	11.32	46.29	46.29	46.29	46.32
reduce	cuda	float32	max	262144	1048576	11.36	11.36	11.36	92.34	92.34	92.34	92.30
reduce	cuda	float32	max	524288	2097152	11.54	11.54	11.54	181.73	181.73	181.73	181.73
reduce	cuda	float32	max	1048576	4194304	12.44	12.44	12.44	337.16	337.16	337.16	337.16
reduce	cuda	float32	max	2097152	8388608	13.73	13.73	13.73	610.97	610.97	610.97	610.97
reduce	cuda	float32	max	4194304	16777216	18.35	18.35	18.35	914.29	914.29	914.29	914.29
reduce	cuda	float32	max	8388608	33554432	34.26	34.26	34.26	979.55	979.55	979.55	979.41
reduce	cuda	float32	max	16777216	67108864	56.50	56.50	56.50	1187.77	1187.77	1187.77	1187.77
reduce	cuda	float32	max	33554432	134217728	100.31	100.31	100.31	1338.03	1338.03	1338.03	1338.03
reduce	cuda	float32	max	67108864	268435456	188.82	188.82	188.82	1421.65	1421.65	1421.65	1421.65
reduce	cuda	float64	sum	1024	8192	8.26	8.26	8.26	0.99	0.99	0.99	0.99
reduce	cuda	float64	sum	2048	16384	8.28	8.28	8.28	1.98	1.98	1.98	1.98
reduce	cuda	float64	sum	4096	32768	8.26	8.26	8.26	3.97	3.97	3.97	3.97
reduce	cuda	float64	sum	8192	65536	8.28	8.28	8.28	7.92	7.92	7.92	7.91
reduce	cuda	float64	sum	16384	131072	8.32	8.32	8.32	15.75	15.75	15.75	15.75
reduce	cuda	float64	sum	32768	262144	8.31	8.31	8.31	31.53	31.53	31.53	31.55
reduce	cuda	float64	sum	65536	524288	8.47	8.47	8.47	61.90	61.90	61.90	61.90
reduce	cuda	float64	sum	131072	1048576	8.44	8.44	8.44	124.31	124.31	124.31	124.24
reduce	cuda	float64	sum	262144	2097152	8.71	8.71	8.71	240.64	240.64	240.64	240.78
reduce	cuda	float64	sum	524288	4194304	9.63	9.63	9.63	435.32	435.32	435.32	435.55
reduce	cuda	float64	sum	1048576	8388608	10.72	10.72	10.72	782.52	782.52	782.52	782.52
reduce	cuda	float64	sum	2097152	16777216	14.99	14.99	14.99	1118.85	1118.85	1118.85	1119.23
reduce	cuda	float64	sum	4194304	33554432	31.20	31.20	31.20	1075.46	1075.46	1075.46	1075.46
reduce	cuda	float64	sum	8388608	67108864	53.30	53.30	53.30	1259.08	1259.08	1259.08	1259.08
reduce	cuda	float64	sum	16777216	134217728	97.14	97.14	97.14	1381.69	1381.69	1381.69	1381.69
reduce	cuda	float64	sum	33554432	268435456	184.88	184.88	184.88	1451.98	1451.98	1451.98	1451.94
reduce	cuda	float64	sum	67108864	536870912	363.60	363.60	363.60	1476.54	1476.54	1476.54	1476.54
reduce	cuda	float64	prod	1024	8192	12.20	12.20	12.20	0.67	0.67	0.67	0.67
reduce	cuda	float64	prod	2048	16384	11.96	11.96	11.96	1.37	1.37	1.37	1.37
reduce	cuda	float64	prod	4096	32768	12.02	12.02	12.02	2.73	2.73	2.73	2.73
reduce	cuda	float64	prod	8192	65536	11.98	11.98	11.98	5.47	5.47	5.47	5.47
reduce	cuda	float64	prod	16384	131072	12.06	12.06	12.06	10.87	10.87	10.87	10.87
reduce	cuda	float64	prod	32768	262144	12.10	12.10	12.10	21.67	21.67	21.67	21.66
reduce	cuda	float64	prod	65536	524288	12.14	12.14	12.14	43.17	43.17	43.17	43.19
reduce	cuda	float64	prod	131072	1048576	12.30	12.30	12.30	85.22	85.22	85.22	85.25
reduce	cuda	float64	prod	262144	2097152	12.35	12.35	12.35	169.88	169.88	169.88	169.81
reduce	cuda	float64	prod	524288	4194304	13.43	13.43	13.43	312.31	312.31	312.31	312.31
reduce	cuda	float64	prod	1048576	8388608	14.35	14.35	14.35	584.78	584.78	584.78	584.57
reduce	cuda	float64	prod	2097152	16777216	18.72	18.72	18.72	896.22	896.22	896.22	896.22
reduce	cuda	float64	prod	4194304	33554432	35.09	35.09	35.09	956.10	956.10	956.10	956.24
reduce	cuda	float64	prod	8388608	67108864	57.06	57.06	57.06	1176.01	1176.01	1176.01	1176.11
reduce	cuda	float64	prod	16777216	134217728	100.16	100.16	100.16	1340.10	1340.10	1340.10	1340.03
reduce	cuda	float64	prod	33554432	268435456	188.97	188.97	188.97	1420.52	1420.52	1420.52	1420.52
reduce	cuda	float64	prod	67108864	536870912	367.17	367.17	367.17	1462.19	1462.19	1462.19	1462.19
reduce	cuda	float64	min	1024	8192	10.72	10.72	10.72	0.76	0.76	0.76	0.76
reduce	cuda	float64	min	2048	16384	10.76	10.76	10.76	1.52	1.52	1.52	1.52
reduce	cuda	float64	min	4096	32768	10.82	10.82	10.82	3.03	3.03	3.03	3.03
reduce	cuda	float64	min	8192	65536	10.94	10.94	10.94	5.99	5.99	5.99	5.99
