Generating SQLite file prof_560_red.sqlite from prof_560_red.nsys-rep
Processing [prof_560_red.sqlite] with [/opt/nvidia/nsight-systems/2023.4.4/host-linux-x64/reports/cuda_gpu_trace.py]... 

 ** CUDA GPU Trace (cuda_gpu_trace):

  Start (ns)    Duration (ns)  CorrId   GrdX   GrdY  GrdZ  BlkX   BlkY  BlkZ  Reg/Trd  StcSMem (MB)  DymSMem (MB)  Bytes (MB)  Throughput (MB/s)  SrcMemKd  DstMemKd           Device            Ctx  GreenCtx  Strm                                                  Name                                                
 -------------  -------------  ------  ------  ----  ----  -----  ----  ----  -------  ------------  ------------  ----------  -----------------  --------  --------  -------------------------  ---  --------  ----  ----------------------------------------------------------------------------------------------------
 7,354,926,359         20,864   2,273                                                                                  67.109      3,216,460.743  Device              NVIDIA H100 80GB HBM3 (0)    1               7  [CUDA memset]                                                                                       
 7,355,068,375         43,072   2,275                                                                                 134.218      3,115,998.773  Device              NVIDIA H100 80GB HBM3 (0)    1               7  [CUDA memset]                                                                                       
 7,471,325,152         96,544   2,545  16,384     1     1  1,024     1     1       21         0.000         0.000                                                     NVIDIA H100 80GB HBM3 (0)    1              20  void UCC_REDUCE_CUDA_DEFAULT_SUM<float, float, (bool)0, (int)1>(ucc_eee_task_reduce, unsigned short)
 7,471,440,288         92,416   2,769  16,384     1     1  1,024     1     1       21         0.000         0.000                                                     NVIDIA H100 80GB HBM3 (0)    1              21  void UCC_REDUCE_CUDA_DEFAULT_SUM<float, float, (bool)0, (int)1>(ucc_eee_task_reduce, unsigned short)
 7,471,543,936         92,800   3,101  16,384     1     1  1,024     1     1       21         0.000         0.000                                                     NVIDIA H100 80GB HBM3 (0)    1              22  void UCC_REDUCE_CUDA_DEFAULT_SUM<float, float, (bool)0, (int)1>(ucc_eee_task_reduce, unsigned short)
 7,471,646,656         92,928   3,434  16,384     1     1  1,024     1     1       21         0.000         0.000                                                     NVIDIA H100 80GB HBM3 (0)    1              23  void UCC_REDUCE_CUDA_DEFAULT_SUM<float, float, (bool)0, (int)1>(ucc_eee_task_reduce, unsigned short)
 7,471,751,936         92,800   3,763  16,384     1     1  1,024     1     1       21         0.000         0.000                                                     NVIDIA H100 80GB HBM3 (0)    1              24  void UCC_REDUCE_CUDA_DEFAULT_SUM<float, float, (bool)0, (int)1>(ucc_eee_task_reduce, unsigned short)
 7,471,855,328         93,056   4,094  16,384     1     1  1,024     1     1       21         0.000         0.000                                                     NVIDIA H100 80GB HBM3 (0)    1              25  void UCC_REDUCE_CUDA_DEFAULT_SUM<float, float, (bool)0, (int)1>(ucc_eee_task_reduce, unsigned short)
 7,471,958,720         92,800   4,429  16,384     1     1  1,024     1     1       21         0.000         0.000                                                     NVIDIA H100 80GB HBM3 (0)    1              26  void UCC_REDUCE_CUDA_DEFAULT_SUM<float, float, (bool)0, (int)1>(ucc_eee_task_reduce, unsigned short)
 7,472,062,080         92,864   4,761  16,384     1     1  1,024     1     1       21         0.000         0.000                                                     NVIDIA H100 80GB HBM3 (0)    1              27  void UCC_REDUCE_CUDA_DEFAULT_SUM<float, float, (bool)0, (int)1>(ucc_eee_task_reduce, unsigned short)
 7,472,164,512         92,736   5,090  16,384     1     1  1,024     1     1       21         0.000         0.000                                                     NVIDIA H100 80GB HBM3 (0)    1              28  void UCC_REDUCE_CUDA_DEFAULT_SUM<float, float, (bool)0, (int)1>(ucc_eee_task_reduce, unsigned short)
 7,472,266,720         92,800   5,416  16,384     1     1  1,024     1     1       21         0.000         0.000                                                     NVIDIA H100 80GB HBM3 (0)    1              29  void UCC_REDUCE_CUDA_DEFAULT_SUM<float, float, (bool)0, (int)1>(ucc_eee_task_reduce, unsigned short)
 7,472,368,768         92,672   5,746  16,384     1     1  1,024     1     1       21         0.000         0.000                                                     NVIDIA H100 80GB HBM3 (0)    1              30  void UCC_REDUCE_CUDA_DEFAULT_SUM<float, float, (bool)0, (int)1>(ucc_eee_task_reduce, unsigned short)
 7,472,470,912         92,736   6,073  16,384     1     1  1,024     1     1       21         0.000         0.000                                                     NVIDIA H100 80GB HBM3 (0)    1              31  void UCC_REDUCE_CUDA_DEFAULT_SUM<float, float, (bool)0, (int)1>(ucc_eee_task_reduce, unsigned short)
